kata,dasar,stopword,sinonim
pertimbangan,Bukan,Bukan,alasan|estimasi|evaluasi|komentar|kritik|penilaian|tanggapan|advis|bicara |fatwa|masukan|nasihat|pandangan|pendapat|pengarahan|petuah|petunjuk|rekomendasi|saran|wejangan
pertukaran,Bukan,Bukan,alterasi|pergantian|pergiliran|perputaran|perubahan|persilihan|kisaran|peralihan|pergeseran|perpindahan
pertumbuhan,Bukan,Bukan,kemajuan|perkembangan|pertambahan|progres
pertunjukan,Bukan,Bukan,atraksi|pementasan|pergelaran|tayangan|tontonan|demonstrasi|ekshibisi|pameran|peragaan|presentasi
perusakan,Bukan,Bukan,destruksi|pecahan|pelarutan|peleburan|pelembutan|pelenyapan|peluluhan|peluluhlantakan|pelumatan|pembajakan|pembinasaan|pemorakporandaan|pemusnahan|pencairan|pencernaan|pengganyangan|penggemburan|penghancurleburan|pengunyahan|penjahanaman|penumbangan|perobohan|peruntuhan|perusakan|sabotase|vandalisme
perwujudan,Bukan,Bukan,konkretisasi|manifestasi|pelaksanaan|pengaktualan|pengejawantahan|penjelmaan
pesaing,Bukan,Bukan,kompetitor|konkuren|lawan|oponen|rival
pesawat,Ya,Bukan,kapal terbang|kapal udara|pesawat terbang|pesawat udara|alat|mesin|motor
peserta,Bukan,Bukan,akseptor|anggota|pengikut|kandidat|kontestan|partisipan
pesiar,Bukan,Bukan,berdarmawisata|berekreasi|berkelah|berpelesir|bertamasya|berwisata|dolan|jalan-jalan|melancong|piknik
pewujudan,Bukan,Bukan,penghasilan|penubuhan
pihak,Ya,Ya,bagian|paksa|sayap|sebelah|sisi
piknik,Ya,Bukan,berdarmawisata|berekreasi|berkelah|berpelesir|berpesiar|bertamasya|berwisata|jalan-jalan|melancong
pimpinan,Bukan,Bukan,arahan|bimbingan|didikan
pindah,Ya,Bukan,alih|tukar|bermigrasi|mengimbit|mengungsi
platform,Ya,Bukan,garis haluan|kebijakan|deklarasi|maklumat|manifesto|pernyataan
populer,Ya,Bukan,beken |eminen|hit|kenamaan|kondang|marak|masyhur|mengakar |merakyat|naik daun|prominen|tenar|terkenal|ternama|terpegah|tersohor|banal|bersahaja|biasa|konvensional|lazim|standar|umum
prioritas,Ya,Bukan,pengutamaan|preferensi|prerogatif
produk,Ya,Bukan,barang|buatan|ciptaan|komoditas|keluaran|kreasi|produksi|rakitan
produksi,Ya,Bukan,pabrikasi|pembuatan|penerapan|perakitan|buatan|kreasi|produk
program,Ya,Bukan,acara|agenda|cadangan|kalender|skedul |rencana|tata olah
prosedur,Ya,Bukan,jalan|langkah|metode|modus
publikasi,Ya,Bukan,embaran|notifikasi|permakluman|pengumuman|proklamasi|siaran
radius,Ya,Bukan,jari-jari|jejari|sinar
rancangan,Bukan,Bukan,agenda|angan-angan|bagan|buram|dasar|draf|fantasi|jalinan|kirakira|pelan|persediaan|persiapan|plot|program|rang|rangka|rangrangan|rekarekaan|rencana|susunan acara|tata acara
rangkaian,Bukan,Bukan,deretan|hubungan|ikatan|jalinan|jurai|karangan|kumpulan|pertalian|rantaian|rentetan|rumpun|runtunan|sambungan|susunan|untaian
rangkuman,Bukan,Bukan,ikhtisar|ringkasan
reaktualisasi,Ya,Bukan,pembaharuan|penyegaran
redaksi,Ya,Bukan,sidang pengarang
rekomendasi,Ya,Bukan,anjuran|konseling|referensi|saran|sugesti
rekreasi,Ya,Bukan,piknik|tamasya|tur|wisata
relatif,Ya,Bukan,nisbi
rencana,Ya,Bukan,acara|agenda|bagan|buram|dasar|draf|jadwal|konsep|plan|persediaan|persiapan|program|rancangan|rangka|rangrangan|rengrengan
resmi,Ya,Bukan,formal|sah
retribusi,Ya,Bukan,pungutan
revitalisasi,Ya,Bukan,penyegaran
riang,Ya,Bukan,daya|kekuatan|kuasa|larat|tenaga|gembira|girang hati|ria|suka hati|sukacita|sukaria
riang gembira,Bukan,Bukan,girang hati|meriah|ramai|suka hati|sukaria
rincian,Bukan,Bukan,hamparan
risiko,Ya,Bukan,akibat|efek
risikonya,Bukan,Bukan,akibatnya
ruang,Ya,Bukan,bagian|bilik|celah|ceruk|gua|kalangan|kamar|kawasan|kolom|kurung|lajur|lapangan|liang|lingkungan|lubang|mimbar|palka|pangsa|pojok|rongga|rubrik|sal|sela-sela|tempat|jeluk|kolong|lekuk|lubuk|relung
sambang,Bukan,Bukan,kunjung|tandang|ronda
sangat,Ya,Ya,amat|banyak|benar|benar-benar|berat |besar|betul|bukan alang kepalang|bukan main|hebat|luar biasa|maha-|paling|payah|sekali|sungguhsungguh|super|terlalu|terlampau
sanggar,Ya,Bukan,bengkel seni|padepokan|studio
setuju,Ya,Bukan,setujuan|akur|mufakat|putus
siaga,Ya,Bukan,prayitna|siap sedia|waspada
signifikan,Ya,Bukan,bena|berarti|bermakna|istimewa|penting|relevan|substansial|bernas|kaya
spektakuler,Ya,Bukan,dahsyat|dramatis|fantastis|hebat|impresif|luar biasa|maut |megah|mengagumkan|menggemparkan|menghebohkan|semarak|sensasional
spesifik,Ya,Bukan,distingtif|idiosinkratis|individual|istimewa|karakteristik|khas|partikular|spesial|khusus|terbatas|definit|jelas|kategoris|tegas|tertentu
strategi,Ya,Bukan,cetak biru|desain|muslihat|program|rencana|siasat|skema|garis haluan|kebijakan|khitah|pendekatan|politik|prosedur
strategis,Ya,Bukan,penting|vital|diplomatis|politis|taktis
suasana,Ya,Bukan,cuaca|hawa|udara|atmosfer|nada|semangat|spirit|iklim|keadaan|kondisi|situasi
subur,Ya,Bukan,berjebah|berlambak|berlimpah|fertil|gemuk|kaya|produktif|kreatif|inventif
sukarela,Ya,Bukan,ikhlas|rela|tulus|bebas|manasuka
"sempit,""Ya"",""Bukan"",""ketang|ketat|kincup|sendat|sesak|sepan |terik|sumpek|kecil|kopet|mepet|sedikit|ki cetek|cupet|dangkal|kurang pikir|parokial|provinsial|kerdil|pendek akal|picik|sempit mata|suntuk"""
sukarelawan,Ya,Bukan,volunter
sukaria,Ya,Bukan,girang hati|riang gembira|suka
surga,Ya,Bukan,adnan|firdaus|nirwana|indraloka|kayangan|kedewaan|keindraan|suargaloka|suralaya|ki asilum|suaka
taksir,Ya,Bukan,anggaran|hisab|hitung|kira-kira|nilai|perhitungan|rancangan
taktik,Ya,Bukan,akal|cara|diplomasi|gaya|jalan|kaidah|kiat|kunci |langkah|metode|muslihat|putar belit|rahasia|rencana|resep|set |siasat|strategi|trik|usaha
taktis,Ya,Bukan,diplomatis|politis|strategis
takuk,Ya,Bukan,cangap|gubang|ketak|luk|rakuk|takik|toreh|tukik
tantang,Ya,Bukan,melawan|mengajak (berkelahi)|menempuh|menghadang|menghadapi|menyongsong|merencah
target,Ya,Bukan,alamat|ambisi|bahan|bulan-bulanan |incaran|intensi|maksud|objek|sasaran|tujuan|tumpuan|tuntutan
tari,Ya,Bukan,ajojing|dansa|joget|ronggeng|tandak
tarif,Ya,Bukan,bayaran |bea|beban|biaya|daftar ongkos|daftar sewa|harga|pajak|pungutan
tarik,Ya,Bukan,anjur|betot|cabut|eret|ganjur|hela|hunus|raih|rebut|renggut|sentak|seret
tatap,Ya,Bukan,lihat
tawar,Bukan,Bukan,payau|adem|anyep|campah|cemplang|hambar (rasa)|basi|batal|batil|reda|surut|dingin |kering |hampa|kecut|sumbing|netral|cak menawar
tegak,Ya,Bukan,berdiri|cacak|cegak|kokoh|kuat|kukuh|lempang|lurus|sigap|teguh|vertikal|tegar|teguh
tegas,Ya,Ya,bahana |bayan|berandang|curai|eksplisit|gamblang|jelas|kasar|kentara|mencolok|nyata|terang|tebal|definit|kategoris|pasti|positif|tandas|tentu
tegur,Ya,Bukan,sapa(an)|teguran
tekad,Ya,Bukan,ambisi|animo|cekal|cita-cita|dorongan hati
tekan,Ya,Bukan,melanyak|melindas|membenamkan|memencet|memijit
teknik,Ya,Bukan,cara|gaya|jalan|kiat|metode|modus operandi|proses|siasat|sistem
tekstur,Ya,Bukan,jalinan|komposisi|kualitas|permukaan|struktur
telak,Ya,Bukan,jitu|langsung|pas|persis |tepat|mutlak|sepenuhnya

telanjang,Ya,Bukan,bugil|loncos|urian|v terhunus|a terbuka|gamblang|jelas|polos|transparan
telantar,Ya,Bukan,kapiran|terabai|terbengkalai|terbiar|terhantar|terlalaikan|terlupakan|tersia-sia
telap,Ya,Bukan,mempan
telas,Ya,Bukan,bantalan|galang|ganjal|kalang|landasan|lapik
telatah,Ya,Bukan,gerak gerik|kelakuan|perangai|perilaku|sepak terjang|sikap|tabiat|tindak
telatak,Bukan,Bukan,rakit
telatap,Ya,Bukan,rakit
telaten,Ya,Bukan,cermat|hati-hati|open|teliti|betah|tahan|sabar|rajin|tekun
telau,Ya,Bukan,belang|bercak|noda|nuansa
tele,Ya,Bukan,berbelit-belit|berbelok-belok|berbolak-balik|berhanyut-hanyut|berkepanjangan|berlarut-larut|berleleran |berliku-liku|berpanjang-panjang|berputar
teledor,Ya,Bukan,abai|alpa|ceroboh|gegabah|lalai|lengah|sembarangan|sembrono|serampangan|silap mata
teledor hantam kromo,Bukan,Bukan,sembarangan
teliti,Ya,Bukan,awas|jeli|akurat|cermat|ketat|korek|kritis|open|saksama|siasat|tepat
teluk,Ya,Bukan,perairan|lekuk
telungkup,Ya,Bukan,menangkup|menelangkup|menengkurap|meniarap|menjerahap|menyungkur
telusur,Ya,Bukan,jajak|jelajah|rambah|susur|sisir
tema,Ya,Bukan,inti|isu|judul|poin|pokok pikiran|subjek|tajuk|topik
teman,Ya,Bukan,handai|ikhwan|kanti|kawan|kenalan|kolega|kompanyon|konco |kroni|mitra|pengantar|rekan|sahabat|saudara|sejawat|sekutu|sobat |tandem|tolan|jodoh|lawan|pasangan|regu|sandingan|setelan
tempat,Ya,Ya,ajang|bekas|sarung|wadah
temperatur,Ya,Bukan,suhu|hawa
tempuh,Ya,Bukan,melalui|melewati|melintasi|menerabas|menerobos|menyusuri|melakoni|menanggung|mengalami|mengarungi|mengecap|mengenyam|menjalani|menyeberangi|menyelami|merasai|menantang|menghadang|menghadapi|menyongsong|memasuki|mengambil|mengikuti|menuruti|bangun |ganti rugi|kompensasi|pampas(an)|restitusi
temu,Ya,Bukan,jumpa|sua
tenaga,Ya,Bukan,daya|energi|gaya|kekuatan|kemampuan|stamina|karyawan|pegawai|tenaga kerja
tenang,Ya,Bukan,diam|hening|mati|ranah|senyap|sepi|sirep|sunyi|anteng|kalem|kepala
tenar,Ya,Bukan,beken |eminen|kenamaan|kondang|masyhur|naik daun|populer|prominen|terkenal|ternama|tersohor
tenda,Ya,Bukan,bivak|kamp|kemah
tendang,Ya,Bukan,depak|sepak|terjang
tengah,Ya,Ya,pusat|senter|sentral|antara|sela-sela|para|paruh|perdua|lagi|masih|sedang|p ketika|selagi|sementara|tatkala
tenggang,Ya,Bukan,antara|batas waktu|jangka waktu|kurun waktu|selang|tempo|akal|cara|ikhtiar|jalan|upaya|usaha
tenggelam,Ya,Bukan,karam|kelebu|kelelap|menyelam|v ayun-temayun|bergeser|bergulir|condong|jatuh|masuk|terbenam|tergelincir|terpuruk|turun|hilang|lenyap|lesap|pupus|a ki asyik|enak-enak|larut|lupa diri|mandam |sibuk|terlena
tengok,Ya,Bukan,toleh
tenong,Ya,Bukan,bakul|ketumbu
tensi,Ya,Bukan,kegelisahan|kekhawatiran|ketegangan|stres|tekanan
tentang,Ya,Ya,akan|atas|bab|berhubungan|berkenaan|mengenai|perkara|terhadap
tenteram,Ya,Bukan,aman|damal|lega|rahayu|salam|sejahtera|sentosa|adem|ayem|sejuk|tenang
tentu,Ya,Ya,absolut|definit|pasti|positif|tetap
tepi,Ya,Bukan,bibir |pesisir|pinggir|rusuk|samping|sembir|sisi|susur|tebing|tubir|ufuk|batas|birai|birih|padan|sembiran|sempadan|tapal batas|margin|pias (halaman buku)
terang,Ya,Bukan,bayan|jelas|kentara |ketahuan|nyata|sabit|tegas|tersurat|absolut|eksplisit|gamblang|a benderang|calak|cemerlang|cerah|mencolok|a bening|bersih|jernih|transparan|n cerah|siang|cahaya|sinar|a benar|sah|terbukti|valid
teratur,Bukan,Bukan,apik|koheren|runtut|sistematis|terkendali|terkonsolidasi|terorganisasi|terpadu|terstruktur|tertata|tertib|urut|terpimpin|berirama|harmonis|ritmis|berkala|konstan|periodik|regular|tetap|rutin
ternyata,Bukan,Ya,alih-alih|kelihatan
terpapar,Bukan,Bukan,tergambar|hampar|terhampar|terungkap
tertarik,Bukan,Bukan,terbawa|terdorong|tergiring|terikat|terikut|terjerat|terjerumus|terseret|terbetot|tercabut|ki gandrung|jatuh cinta|kasmaran|silau |terpikat|terbujuk|tercantol|tergoda|terhibur|terkesan|terpaut|terpesona|terpincut|terpukau|tertambat|tertawan
terus,Ya,Ya,langsung|lantas|segera|p kalakian |kemudian|lalu|adv selalu|sinambung|terus-menerus|tetap|v bergerak|berjalan|lanjut|maju|menerus
tinggi,Ya,Ya,jangkung|semampai|adiluhung|agung|ala|luhur|mulia|banter|banyak|mahal|canggih|muluk|rabung|nyaring|keras|muluk
tipe,Ya,Bukan,contoh|corak|jenis|macam|model|potongan|rumpun|rupa|spesies|varietas|versi
tonton,Ya,Bukan,melihat|memirsa|memandang|menatap|menyaksikan
total,Ya,Bukan,jumlah|seluruhnya|adv habishabis-an|sepenuhnya|a absolut|mutlak
tradisi,Ya,Bukan,adat-istiadat|budaya|etik|kebiasaan|kultur|institusi|konvensi|pranata|rasam|tradisional a konservatif|konvensional|kuno|lama|lapuk |tua|usang
transaksi,Ya,Bukan,bisnis|negosiasi|pembicaraan|perundingan
transpor,Ya,Bukan,angkutan|kendaraan
transportasi,Ya,Bukan,pemindahan|pengangkutan|pengiriman
tukar,Ya,Bukan,ganti|salin|silih|ubah
tumpang,Ya,Bukan,membonceng|mendompleng |menebeng|menempel |ikut|turut|memakai|mengendarai|naik|meniban|menimpa|menindih
tur,Ya,Bukan,cak darmawisata|piknik|rekreasi|tamasya|wisata
turis,Ya,Bukan,pelancong|petandang|wisatawan
tutur,Ya,Ya,bicara|kata|perkataan
ukur,Ya,Bukan,sukat|takar
ukuran,Bukan,Bukan,barometer|kadar|parameter|patokan|skala|standar|sukatan|takaran|tingkatan|tolok ukur|bentuk|dosis|edisi|kadar
uluran,Bukan,Bukan,bentangan|juluran|regangan|rentangan|sorongan tangan|ki bantuan|pertolongan|sambung tangan |sokongan|sumbangan
umumnya,Bukan,Ya,biasanya|galibnya|kebanyakan|lazimnya|pukul rata|rata-rata
unggul,Ya,Bukan,ulung|v berjaya|menang|memenangi|menjuarai
upaya,Ya,Bukan,akal|cara|daya|ikhtiar|jalan|kuasa|kekuatan|tenaga|usaha
usul,Ya,Bukan,ajakan|anjuran|ide|gagasan|nasihat|saran|asal|asal mula|asas|dasar|pokok|pangkal|punca
utus,Ya,Bukan,mengirim|menugasi
valid,Ya,Bukan,absah|aci|asi|benar|berdasar|berlaku|berterima|jadi|kuat|legal|logis|meyakinkan|otentik|real|sah|sahih|tahkik|terang
wabah,Ya,Bukan,endemi|epidemi|hawar|pagebluk|pandemi|taun
wacana,Ya,Bukan,artikel|bacaan|ceramah|dialog|diskusi|khotbah|komunikasi|lektur|percakapan|pidato|pustaka|surat|teks
waktu,Ya,Ya,kira-kira|lebih kurang|purata|sekitar|durasi|era|jangka|janji|kala|kali|kurun|masa|periode|saat|sangkala|tempo|tenggat|termin|zaman|n
warga,Ya,Bukan,ahli|anak|anggota|awak|kelompok|orang|penduduk|penghuni|populasi|bani|famili|kaum|keluarga
warga negara,Ya,Bukan,bangsa|masyarakat|orang|penduduk|rakyat
warganegara,Bukan,Bukan,rakyat
wartawan,Ya,Bukan,beritawan|jurnalis|juru berita|juru kabar|juru warta|koresponden|kuli tinta |nyamuk pers |pelapor|peliput|pemberita|penulis berita|penyampai|penyiar|pewarta|reporter|wartawati
wartawati,Ya,Bukan,pemberita|juru warta|wartawan
warung,Ya,Bukan,barung-barung|denai|depot|gerai|kedai|kios|lepau|pajak|toko
waspada,Ya,Bukan,agak-agak|awas|cermat|eling|hati-hati|ingat-ingat|perdata|prayitna|siaga|siap sedia|tangar|teliti|waskita|waswas
wawasan,Bukan,Bukan,anggapan pikiran|paham|pandangan|pendapat|pengertian|pengetahuan
wewenang,Bukan,Bukan,kedaulatan|kekuasaan|kewenangan|otoritas
wirausaha,Bukan,Bukan,pengusaha|wiraswasta
wisata,Ya,Bukan,darmawisata|liburan|rekreasi|tamasya|tur 
wisatawan,Ya,Bukan,pelancong|pelawat|pengunjung|petandang|turis
wisma,Ya,Bukan,balai|gedung|pejabat|penginapan|pesanggrahan|rumah
wisma penginapan,Bukan,Bukan,losmen
yuridiksi,Bukan,Bukan,dominasi|kekuasaan|kontrol|otoritas|pengaruh|pengaturan|supremasi
yurisdiksi,Ya,Bukan,dominasi|otoritas
zaman,Ya,Bukan,kurun|periode|abad|era|kala|ketika|masa|waktu
zona,Ya,Bukan,alam|area|daerah|kawasan|lingkungan|mandala|mintakat|rayon|sektor|tempat|wilayah
